Ido_mp,UA_X,UA_Y,UA_Z,FA_X,FA_Y,FA_Z,H_X,H_Y,H_Z
2.9640718,5.19325229903805,3.67806976471422,5.20006256087982,18.0685386785456,-1.25753439943429,-45.5014229806357,-18.0864395135443,-8.70166491202668,-7.5477941861148
3.0070424,5.19007671319052,3.68468484149607,5.19384005113803,18.0948195791831,-1.25222213321164,-45.5063325868359,-18.11173105446,-8.704275591,-7.53201822463281
3.0539329,5.19986222678329,3.69531017018718,5.18571116570401,18.104216107912,-1.28068007673013,-45.5109522667151,-18.1169417023081,-8.70005115192076,-7.54341277043197
3.0867493,5.21662082914866,3.6807406399657,5.22526771929888,18.0838457441933,-1.29305570797027,-45.5262638448706,-18.0862166128707,-8.70830878096022,-7.53584886439208
3.1485432,5.21822615852489,3.69395670559487,5.21730465785636,18.0931989422851,-1.29241306995339,-45.5713967017831,-18.1049180854833,-8.68677046842576,-7.49556912954998
3.1968928,5.19304223682546,3.68171110239328,5.21531430644924,18.0930688823696,-1.32648980799506,-45.6107597986702,-18.0730540614584,-8.61866312850889,-7.47787493415667
3.2580209,5.22614325627757,3.67341956246607,5.27200775335311,18.0997589191547,-1.34166690736616,-45.6214752170184,-18.1204683047698,-8.62208823470771,-7.46861703685419
3.2901732,5.22688148623494,3.65086534073137,5.25709645711535,18.1040100143509,-1.32942074786407,-45.6279390425125,-18.1211267266692,-8.62331101880443,-7.46801075610453
3.3358038,5.20511248448324,3.66258673256257,5.2354376675798,18.1433046583747,-1.33985492956051,-45.6357011405687,-18.1292450445902,-8.61660348317305,-7.4532299362592
3.3820899,5.21960084486128,3.65890941907762,5.23932843726599,18.1293999237595,-1.32296660395008,-45.6259403221018,-18.1370275687211,-8.6221511317133,-7.44476640495864
3.4140332,5.23569750421708,3.63658087272961,5.27908771768047,18.1220063382555,-1.30605930967163,-45.6235315916833,-18.1637815955848,-8.63770421019455,-7.43439234882875
3.447243,5.24189969069102,3.66346067589334,5.22662248077626,18.1310277387104,-1.31973086985983,-45.6316602155486,-18.150356887921,-8.6252011733697,-7.42992316542253
3.5083032,5.24138764983081,3.68557066398466,5.20184442956591,18.1474343984989,-1.35027105910072,-45.6675754147662,-18.1371357575712,-8.61465554974584,-7.40047990507052
3.5702704,5.25439697427415,3.68777263127943,5.22265374723318,18.1561224346993,-1.3066629003097,-45.7025813934834,-18.1511818394358,-8.65230766784165,-7.35023261621094
3.6160024,5.26772013982695,3.70082554036473,5.19235300089327,18.1503009195052,-1.3224934047569,-45.6731838748712,-18.1636074695357,-8.65553324260689,-7.37012411577678
3.6622856,5.28375267279779,3.69877425360726,5.16696002423879,18.1561962542102,-1.32698207612893,-45.6810165886973,-18.1856983534416,-8.66255523560688,-7.35918566753951
3.7246559,5.30526061954468,3.69620531701431,5.18471162362976,18.1852671036736,-1.33356960646295,-45.7190054334954,-18.2031295762145,-8.64510351215413,-7.32568241846516
3.7713552,5.30028642825835,3.67749942110625,5.18006694610782,18.2161706614332,-1.31272433442749,-45.7822339375967,-18.239646154635,-8.60407659546411,-7.25776044205807
3.8033906,5.3169071046106,3.68713972463626,5.17511708329746,18.2225538079767,-1.33035874125732,-45.7840664580223,-18.2462352227376,-8.61134835251803,-7.26151873520537
3.8356416,5.31314345065393,3.70373690019711,5.13858282363333,18.2480143278513,-1.31163334979511,-45.7910709796899,-18.2869818453385,-8.65302050235565,-7.22838253491881
3.8959169,5.30688301597017,3.71566121656674,5.11158874081032,18.2476470480065,-1.31168119031197,-45.7847916042512,-18.2686072556128,-8.64501368252668,-7.21667912704196
3.9572798,5.31205494254757,3.71581379360475,5.11333848137378,18.2283807847778,-1.28744183294348,-45.7691997176075,-18.2536520069336,-8.68186635178019,-7.22513866323712
4.019681,5.30833710215183,3.69578850288841,5.14201118951146,18.2318096343043,-1.27933773765197,-45.7649695814402,-18.2540483484261,-8.69546377867245,-7.21552272058117
4.0832414,5.29176949721398,3.68730526111164,5.15461657901015,18.1878940964396,-1.30475964364869,-45.7727601100393,-18.2034079767636,-8.63787233755467,-7.23047816993615
